inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EG,PEDDAPURAM,COED,EEE,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,71094.0,50799.0,104979.0,2019.0
ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EG,PEDDAPURAM,COED,MEC,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,122713.0,100756.0,102256.0,2019.0
ACET,"ADITYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,EG,PEDDAPURAM,COED,CSE,37530.0,37530.0,121902.0,123366.0,129476.0,130484.0,63533.0,97037.0,67217.0,68470.0,64574.0,64574.0,60709.0,60709.0,129722.0,129722.0,37341.0,32812.0,2019.0
ACET,"ADITYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,EG,PEDDAPURAM,COED,ECE,62738.0,62738.0,115317.0,115317.0,64684.0,64684.0,107092.0,125484.0,110656.0,110656.0,62738.0,62738.0,82348.0,101406.0,126594.0,127468.0,62687.0,69798.0,2019.0
ACET,"ADITYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,EG,PEDDAPURAM,COED,EEE,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,120340.0,44681.0,84038.0,2019.0
ACET,"ADITYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,EG,PEDDAPURAM,COED,INF,67815.0,67815.0,67815.0,67815.0,67815.0,67815.0,92126.0,120226.0,87026.0,126287.0,67815.0,87712.0,89269.0,89269.0,116491.0,116491.0,70010.0,59473.0,2019.0
ACET,"ADITYA COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,EG,PEDDAPURAM,COED,MEC,60669.0,60669.0,115293.0,115293.0,84193.0,84193.0,60669.0,60669.0,101799.0,101799.0,60669.0,60669.0,60669.0,60669.0,60669.0,60669.0,107163.0,103596.0,2019.0
ACPS,ADITYA COLLEGE OF PHARMACY,PVT,EG,PEDDAPURAM,COED,PHM,23867.0,23867.0,26325.0,26325.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,23867.0,100401.0,85987.0,2019.0
ADCP,ADARSHA COLL OF PHARMACY,PVT,EG,G.KOTHAPALLI,COED,PHM,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,94522.0,104696.0,85987.0,2019.0
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,CIV,87231.0,87231.0,113543.0,113543.0,110596.0,110596.0,129279.0,129279.0,113692.0,129648.0,87231.0,87231.0,100356.0,103474.0,87231.0,87231.0,125820.0,108855.0,2019.0
