INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,43000.0,146103.0,OC,BOYS,2024
ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,43000.0,128861.0,OC,BOYS,2024
ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,43000.0,161894.0,OC,BOYS,2024
ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,43000.0,150417.0,OC,BOYS,2024
ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,43000.0,152545.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,53500.0,71458.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,53500.0,38871.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,53500.0,25298.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,53500.0,32023.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,53500.0,42426.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,53500.0,49158.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,INF,EAST GODAVARI,COED,JNTUK,53500.0,37216.0,OC,BOYS,2024
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,53500.0,65182.0,OC,BOYS,2024
ACPS,ADITYA COLLEGE OF PHARMACY,PHD,EAST GODAVARI,COED,JNTUK,38000.0,80115.0,OC,BOYS,2024
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,CIV,EAST GODAVARI,COED,AKNU,35000.0,107746.0,OC,BOYS,2024
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,CSE,EAST GODAVARI,COED,AKNU,35000.0,41808.0,OC,BOYS,2024
