INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,EIE,EAST GODAVARI,COED,AKNU,35000.0,122764.0,OC,BOYS,2022
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,MEC,EAST GODAVARI,COED,AKNU,35000.0,159272.0,OC,BOYS,2022
APCS,ADITYA PHARMACY COLLEGE,PHM,EAST GODAVARI,COED,JNTUK,60100.0,169131.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,AIM,EAST GODAVARI,COED,JNTUK,42000.0,60526.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,CAD,EAST GODAVARI,COED,JNTUK,42000.0,53821.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,CIV,EAST GODAVARI,COED,JNTUK,42000.0,146025.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,42000.0,36109.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,CSM,EAST GODAVARI,COED,JNTUK,42000.0,60156.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,42000.0,70172.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,EEE,EAST GODAVARI,COED,JNTUK,42000.0,99251.0,OC,BOYS,2022
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,MEC,EAST GODAVARI,COED,JNTUK,42000.0,161218.0,OC,BOYS,2022
BVCR,BVC ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,35000.0,79183.0,OC,BOYS,2022
BVCR,BVC ENGINEERING COLLEGE,CSM,EAST GODAVARI,COED,JNTUK,35000.0,100730.0,OC,BOYS,2022
BVCR,BVC ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,35000.0,124826.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,AIM,EAST GODAVARI,COED,JNTUK,52700.0,60262.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,CAD,EAST GODAVARI,COED,JNTUK,52700.0,65160.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,CIV,EAST GODAVARI,COED,JNTUK,52700.0,129624.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,CSE,EAST GODAVARI,COED,JNTUK,52700.0,54046.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,ECE,EAST GODAVARI,COED,JNTUK,52700.0,64344.0,OC,BOYS,2022
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,EEE,EAST GODAVARI,COED,JNTUK,52700.0,115672.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,AID,EAST GODAVARI,COED,JNTUK,35000.0,113502.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,AIM,EAST GODAVARI,COED,JNTUK,35000.0,147562.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,35000.0,122402.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,35000.0,64778.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,35000.0,144690.0,OC,BOYS,2022
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,35000.0,142904.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,AUT,EAST GODAVARI,COED,JNTUK,58700.0,143505.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,58700.0,169131.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,CSC,EAST GODAVARI,COED,JNTUK,58700.0,42206.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,58700.0,49882.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,58700.0,28241.0,OC,BOYS,2022
