SNO,INST_CODE,INST_NAME,TYPE,DISTRICT,PLACE,COED,AFFLIATED,BRANCH_CODE,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLEGE_FEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CIV,148874.0,148874.0,148874.0,148874,148874.0,148874.0,148874.0,148874,148874.0,148874,148874.0,148874.0,148874.0,148874,148874.0,148874,999999.0,999999.0,43000
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CSE,98862.0,144081.0,145979.0,149993,134391.0,144081.0,151012.0,151012,137742.0,144081,98862.0,144081.0,146500.0,146500,143907.0,144792,115984.0,134669.0,43000
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,ECE,110962.0,113113.0,138435.0,138435,127433.0,127433.0,110962.0,113113,110962.0,113113,110962.0,113113.0,110962.0,133645,112856.0,113113,999999.0,999999.0,43000
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,MEC,132618.0,149338.0,148315.0,149338,142677.0,149338.0,132618.0,149338,132618.0,149338,132618.0,149338.0,132618.0,149338,132618.0,149338,999999.0,999999.0,43000
5,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CIV,115994.0,115994.0,131470.0,131470,134998.0,134998.0,115994.0,128091,146801.0,146801,115994.0,134496.0,131016.0,135884,146316.0,146316,110411.0,110125.0,43000
6,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSD,45008.0,48137.0,151666.0,151666,151026.0,151498.0,77416.0,77416,72179.0,76267,45008.0,48137.0,76578.0,76578,89069.0,89069,48481.0,49366.0,43000
7,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSE,61096.0,67586.0,129718.0,129718,145722.0,145722.0,83961.0,83961,67668.0,67668,95884.0,95884.0,61096.0,74897,115117.0,124258,39526.0,37056.0,43000
8,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSM,69873.0,69873.0,141803.0,148215,145909.0,151684.0,99508.0,99508,76066.0,98465,69873.0,100375.0,69873.0,69873,101969.0,121824,48253.0,48592.0,43000
9,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSO,55258.0,55258.0,58892.0,147004,59229.0,151558.0,102699.0,123691,86838.0,89188,55258.0,55258.0,61140.0,64330,125120.0,125120,58314.0,54800.0,43000
10,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,ECE,48585.0,48755.0,151117.0,151117,147480.0,150622.0,120859.0,120859,77077.0,81556,50811.0,50811.0,61313.0,63146,116262.0,116262,52474.0,52205.0,43000
