INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,43000,148874.0,OC,BOYS,2023
ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,43000,98862.0,OC,BOYS,2023
ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,43000,110962.0,OC,BOYS,2023
ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,43000,132618.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,43000,115994.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,CSD,EAST GODAVARI,COED,JNTUK,43000,45008.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,43000,61096.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,CSM,EAST GODAVARI,COED,JNTUK,43000,69873.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,CSO,EAST GODAVARI,COED,JNTUK,43000,55258.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,43000,48585.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,43000,60435.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,INF,EAST GODAVARI,COED,JNTUK,43000,47891.0,OC,BOYS,2023
ACES,ADITYA COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,43000,108600.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,43000,100266.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,43000,45294.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,43000,22060.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,43000,32310.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,43000,42167.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,43000,61987.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,INF,EAST GODAVARI,COED,JNTUK,43000,47494.0,OC,BOYS,2023
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,43000,123569.0,OC,BOYS,2023
ACPS,ADITYA COLLEGE OF PHARMACY,PHM,EAST GODAVARI,COED,JNTUK,62400,151657.0,OC,BOYS,2023
ADCP,ADARSHA COLL OF PHARMACY,PHM,EAST GODAVARI,COED,JNTUK,38000,116627.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,AGR,EAST GODAVARI,COED,JNTUK,56210,108653.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,AIM,EAST GODAVARI,COED,JNTUK,56210,22560.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,CIV,EAST GODAVARI,COED,JNTUK,56210,83330.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,CSD,EAST GODAVARI,COED,JNTUK,56210,17113.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,56210,13238.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,56210,28572.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,EEE,EAST GODAVARI,COED,JNTUK,56210,77599.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,INF,EAST GODAVARI,COED,JNTUK,56210,23582.0,OC,BOYS,2023
ADTP,ADITYA ENGINEERING COLLEGE,MEC,EAST GODAVARI,COED,JNTUK,56210,70738.0,OC,BOYS,2023
