SNO,INST_CODE,INST_NAME,TYPE,DISTRICT,PLACE,COED,AFFLIATED,BRANCH_CODE,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLEGE_FEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CIV,143031.0,143031.0,170697.0,170697,143031.0,143031.0,143031.0,143031,143031.0,143031,143031.0,143031.0,143031.0,143031,143031.0,143031,158522.0,158522.0,35000
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CSE,132938.0,132938.0,170635.0,170635,173467.0,173467.0,153425.0,167840,167292.0,169169,132938.0,139146.0,134908.0,157283,144114.0,144114,149718.0,120842.0,35000
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,ECE,114459.0,114459.0,114459.0,114459,114459.0,114459.0,165041.0,165041,163503.0,163503,114459.0,114459.0,114459.0,146246,114459.0,114459,128288.0,128288.0,35000
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,EEE,169131.0,169163.0,169131.0,169163,173554.0,173554.0,169163.0,169163,169169.0,169169,999999.0,999999.0,169142.0,169163,169163.0,169163,999999.0,999999.0,35000
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,MEC,169131.0,169131.0,173540.0,173540,169131.0,169131.0,169163.0,169163,169169.0,169169,169131.0,169131.0,169142.0,169142,169163.0,169163,999999.0,999999.0,35000
6,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CIV,81311.0,119201.0,129296.0,138982,81311.0,119201.0,109003.0,119201,123948.0,123948,81311.0,119201.0,81311.0,119201,81311.0,119201,109659.0,109659.0,38000
7,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSE,31900.0,31900.0,110055.0,110055,128262.0,171628.0,77271.0,77271,68512.0,68512,31900.0,31900.0,42295.0,61136,147695.0,147695,34137.0,26445.0,38000
8,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSM,44767.0,45866.0,170214.0,170214,95066.0,95066.0,99522.0,136357,69370.0,76716,44767.0,52880.0,52754.0,57239,132995.0,142219,47332.0,50848.0,38000
9,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSO,53492.0,54061.0,53492.0,171559,53492.0,54757.0,109412.0,109412,77179.0,82112,53492.0,54061.0,68283.0,68283,71051.0,112254,54950.0,57293.0,38000
10,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,ECE,59801.0,59801.0,173420.0,173420,169694.0,169694.0,139479.0,139479,76754.0,76754,124636.0,124636.0,78103.0,87646,126627.0,126627,60472.0,60156.0,38000
11,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,EEE,86786.0,86845.0,150900.0,150900,86786.0,86845.0,154750.0,154750,121833.0,121833,86786.0,86845.0,138352.0,138352,86786.0,117319,86487.0,86487.0,38000
12,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,MEC,169131.0,169131.0,169131.0,169131,173554.0,173554.0,169163.0,169163,169169.0,169169,169131.0,169131.0,169131.0,169131,169131.0,169131,123425.0,102256.0,38000
13,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CIV,135022.0,135022.0,170278.0,170278,135022.0,135022.0,157855.0,168890,163968.0,169074,135022.0,135022.0,158309.0,158309,149020.0,149020,140587.0,152251.0,37000
14,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSD,32732.0,32732.0,154857.0,154857,32732.0,32732.0,58877.0,100168,58989.0,62480,32732.0,50070.0,50728.0,50728,102898.0,110022,31344.0,31314.0,37000
15,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSE,21243.0,24445.0,75216.0,83765,154741.0,170439.0,30497.0,36221,30217.0,57612,29999.0,29999.0,39393.0,41500,87476.0,87476,22131.0,33068.0,37000
